duid,tech_label,yyyymm,gas_gj,diesel_gj,fuel_type,incr_hr,static_hr,vom_mwh,srmc_marginal,srmc_allin
QPS5,OCGT (Quarantine),202306,15.18,42.1052631578947,gas,8,10.71,8.1,129.54,170.6778
TORRB1,Gas-steam (Torrens B),202307,10.8,41.5789473684211,gas,9.94,10.71,2.5,109.852,118.168
TORRB2,Gas-steam (Torrens B),202307,10.8,41.5789473684211,gas,9.94,10.71,2.5,109.852,118.168
TORRB3,Gas-steam (Torrens B),202307,10.8,41.5789473684211,gas,9.94,10.71,2.5,109.852,118.168
TORRB4,Gas-steam (Torrens B),202307,10.8,41.5789473684211,gas,9.94,10.71,2.5,109.852,118.168
PPCCGT,CCGT (Pelican Pt),202307,10.8,41.5789473684211,gas,7.35,7.35,4.1,83.48,83.48
OSB-AG,Cogen (Osborne),202307,10.8,41.5789473684211,gas,8.16,8.16,4.1,92.228,92.228
MINTARO,OCGT (Mintaro),202307,10.8,41.5789473684211,gas,10,12.72,12,120,149.376
BARKIPS1,Recip. (Barker Inlet),202307,10.8,41.5789473684211,gas,7.9,7.9,8.51,93.83,93.83
DRYCGT1,OCGT (Dry Creek),202307,10.8,41.5789473684211,gas,10.97,13.69,8.1,126.576,155.952
DRYCGT2,OCGT (Dry Creek),202307,10.8,41.5789473684211,gas,10.97,13.69,8.1,126.576,155.952
DRYCGT3,OCGT (Dry Creek),202307,10.8,41.5789473684211,gas,10.97,13.69,8.1,126.576,155.952
QPS5,OCGT (Quarantine),202307,10.8,41.5789473684211,gas,8,10.71,8.1,94.5,123.768
TORRB1,Gas-steam (Torrens B),202308,10.8,41.5789473684211,gas,9.94,10.71,2.5,109.852,118.168
TORRB2,Gas-steam (Torrens B),202308,10.8,41.5789473684211,gas,9.94,10.71,2.5,109.852,118.168
TORRB3,Gas-steam (Torrens B),202308,10.8,41.5789473684211,gas,9.94,10.71,2.5,109.852,118.168
TORRB4,Gas-steam (Torrens B),202308,10.8,41.5789473684211,gas,9.94,10.71,2.5,109.852,118.168
PPCCGT,CCGT (Pelican Pt),202308,10.8,41.5789473684211,gas,7.35,7.35,4.1,83.48,83.48
OSB-AG,Cogen (Osborne),202308,10.8,41.5789473684211,gas,8.16,8.16,4.1,92.228,92.228
