DUID,regime,q,norm,ratio,lo,hi,price,plo,phi,n_mth
TORRB2,UP,0.65,MAXAVAIL,127.537594670049,82.7120863114212,144.12651888119,16042.86,15490.7,16595.02,30
TORRB3,UN,0.65,MAXAVAIL,118.309041808419,16.6726828580134,133.189508091197,15490.7,3533.0375,16595.02,34
TORRB3,UP,0.65,MAXAVAIL,124.447823318106,88.3943426264692,140.277935097759,16042.86,15490.7,16595.02,34
TORRB3,DN,0.65,MAXAVAIL,121.358051966162,91.8507976755856,140.277935097759,15490.7,15294.595,16595.02,31
TORRB3,DP,0.65,MAXAVAIL,127.537594670049,83.4540200667317,140.277935097759,15490.7,15490.7,16595.02,31
TORRB4,UN,0.65,MAXAVAIL,121.358051966162,72.3964356919896,138.976821131214,15490.7,12914.75,16595.02,34
TORRB4,UP,0.65,MAXAVAIL,127.537594670049,68.9578854855124,145.409380142334,15490.7,15098.49,16595.02,33
TORRB4,DP,0.65,MAXAVAIL,127.537594670049,82.7120863114212,145.409380142334,15490.7,15490.7,16595.02,29
TORRB4,DN,0.65,MAXAVAIL,121.358051966162,50.0123157670522,140.277935097759,15490.7,9794.0425,16595.02,31
BARKIPS1,UN,0.7,MAXAVAIL,143.499643422771,72.4614688957548,165.100203888806,15493.8,12917.32,16600,35
DRYCGT1,UN,0.7,MAXAVAIL,109.592954993486,31.4958454247693,117.445075899193,15887.72,4605.08,15887.72,35
DRYCGT2,UN,0.7,MAXAVAIL,109.592954993486,88.6819497367496,120.016810366689,16586.72,15486.05,16586.72,35
